title,description,category,location,status,severity,upvotes,lat,lng
Pothole near market entrance,Deep pothole causing traffic slowdown near the main vegetable market gate.,road_infrastructure,MG Road Market Gate 2,submitted,75,12,28.7041,77.1025
Streetlight flickering continuously,Streetlight pole #45 is flickering and causing visibility issues at night.,utilities_streetlights,Sector 14 Block B,in_progress,45,5,28.7050,77.1030
Garbage pileup at Sector 4,Uncollected garbage for 3 days attracting stray animals.,waste_sanitation,Sector 4 Park Corner,submitted,80,24,28.7060,77.1040
Open manhole on main road,Dangerous open manhole in the middle of the left lane.,water_drainage,Civil Lines Main Rd,in_progress,90,45,28.7070,77.1050
Water leakage in pipeline,Main water supply pipe leaking gallons of water.,water_drainage,Indira Nagar Lane 3,submitted,65,8,28.7080,77.1060
Broken traffic signal,Red light not working at the busy intersection.,road_infrastructure,Gandhi Chowk Crossing,resolved,85,30,28.7090,77.1070
Illegal hoarding blocking view,Large advertisement board blocking the view of the traffic signal.,public_safety,Station Road,submitted,40,3,28.7100,77.1080
Damaged footpath tiles,Broken tiles making it difficult for pedestrians to walk.,road_infrastructure,Sector 14 Market,rejected,30,1,28.7110,77.1090
Overflowing sewage,Sewage water overflowing onto the street.,waste_sanitation,Nehru Colony,submitted,88,15,28.7120,77.1100
Construction debris dumping,Illegal dumping of debris on the roadside.,waste_sanitation,Highway Service Road,submitted,55,6,28.7130,77.1110
Electric wire hanging low,High tension wire hanging dangerously low near school.,public_safety,Model Town School,in_progress,95,50,28.7140,77.1120
No water supply,No water supply in block C for the last 24 hours.,water_drainage,Block C Apartments,submitted,70,20,28.7150,77.1130
Stray dog menace,Pack of aggressive stray dogs chasing bikers.,public_safety,Sector 21 Park,submitted,60,10,28.7160,77.1140
Broken park bench,Benches in the public park are vandalized.,road_infrastructure,Central Park,resolved,25,2,28.7170,77.1150
Dead animal on road,Dead cow on the divider causing foul smell.,waste_sanitation,Ring Road,resolved,80,18,28.7180,77.1160
Traffic congestion due to vendors,Illegal vendors occupying half the road width.,road_infrastructure,Old City Market,submitted,50,9,28.7190,77.1170
Transformer sparks,Electric transformer sparking frequently.,utilities_streetlights,Power House Road,in_progress,85,22,28.7200,77.1180
Fallen tree branch,Large branch blocking the pedestrian path.,road_infrastructure,Green Avenue,resolved,35,4,28.7210,77.1190
Clogged drain,Rainwater drain clogged with plastic waste.,water_drainage,Low Land Area,submitted,65,7,28.7220,77.1200
Bus stop damaged,Roof of the bus stop has collapsed.,road_infrastructure,City Bus Stand,submitted,45,5,28.7230,77.1210
Speed breaker too high,Unmarked speed breaker causing vehicle damage.,road_infrastructure,School Zone,submitted,40,11,28.7240,77.1220
Streetlight not working,Entire street is dark at night.,utilities_streetlights,Sector 9,in_progress,60,14,28.7250,77.1230
Chemical smell in water,Tap water has a strange chemical smell.,water_drainage,Industrial Area,submitted,90,35,28.7260,77.1240
Park swing broken,Children's swing set is rusted and broken.,road_infrastructure,Kids Park,resolved,30,6,28.7270,77.1250
Dustbin missing,Public dustbin stolen or removed.,waste_sanitation,Market Square,submitted,20,2,28.7280,77.1260
